vOTU	Organic Nitrogen	MISC	carbon utilization	carbon utilization (Woodcroft)	Energy	Transporters
vOTU00005	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00012	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00014	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
vOTU00016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00018	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00024	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00029	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00063	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
vOTU00065	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00071	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00076	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00078	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00079	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00083	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00088	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00091	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00093	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00094	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00095	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00102	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00108	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
vOTU00113	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00121	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
vOTU00130	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00132	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00138	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00142	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00156	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00158	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00160	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00163	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00180	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00183	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00185	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00186	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00188	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00191	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00192	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00193	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00194	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00227	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00236	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00238	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00240	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00242	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00246	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00249	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00250	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00251	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00254	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00258	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00259	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00260	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00261	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00263	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00273	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00279	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00280	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
vOTU00282	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00292	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00295	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00296	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00299	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00300	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00307	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00308	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00312	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00317	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00326	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00335	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00340	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00347	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00371	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00375	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00386	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00387	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00391	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00400	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00401	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00402	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00403	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00409	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00412	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00413	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00418	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
vOTU00425	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00433	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00447	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00463	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00466	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00478	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00480	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00483	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00486	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00488	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00495	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00524	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00532	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00551	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00553	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00555	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00565	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00579	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00580	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00588	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00603	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00608	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00609	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00612	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00622	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00644	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00645	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00662	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00673	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00675	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00676	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00680	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00681	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00693	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00695	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00697	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00705	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00711	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00724	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00731	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00737	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00738	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00750	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00780	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00784	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00820	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00822	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00823	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00824	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00827	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00878	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00880	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU00890	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00895	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00898	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU00912	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
vOTU00985	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01004	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01008	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01025	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01051	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01070	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU01078	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01123	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01126	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01131	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01137	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01148	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01177	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01179	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01200	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU01201	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01204	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01206	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01207	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01208	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01218	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01238	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
vOTU01240	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01249	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01255	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01267	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01272	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01291	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01293	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01317	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01323	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU01326	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01345	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01369	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01425	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01439	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
vOTU01447	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01475	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU01494	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01518	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01534	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01544	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01554	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01557	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01580	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01596	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01610	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01639	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01649	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
vOTU01662	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01673	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01693	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01695	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU01696	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
vOTU01721	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU01740	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
