vOTU	genome_length	genes	checkv_quality	miuvig_quality	completeness	completeness_method	cluster_contigs	cluster_proviruses	cluster_not_proviruses	n_samples	prevalence	mean_prevalent_abundance	mean_prevalent_rel_abund	Class	Order	Family	Subfamily	Genus	BaltimoreGroup	Host	annotated_genes	fraction_annotated
vOTU16996	46040	64	High-quality	High-quality	100	AAI-based (medium-confidence)	8	4	4	8	0.00870406189555125	1.1302779432118537	0.00488602408840032	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	20	0.3125
vOTU06910	28010	34	High-quality	High-quality	97.1	AAI-based (high-confidence)	9	5	4	9	0.00773694390715667	1.3671675956246787	0.00615828360256113	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	14	0.4117647058823529
vOTU07336	27916	43	Complete	High-quality	100	Provirus (medium-confidence)	7	7	0	7	0.00290135396518375	0.46437087869709487	0.00249880635024856	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	14	0.32558139534883723
vOTU09574	69803	87	High-quality	High-quality	100	AAI-based (high-confidence)	12	9	3	12	0.01257253384912959	0.9474600872552674	0.00515911423265161	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	50	0.5747126436781609
vOTU17944	169160	170	High-quality	High-quality	100	HMM-based (lower-bound)	9	1	8	9	0.01644100580270793	0.6154148996931252	0.00298477046916896	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	86	0.5058823529411764
vOTU02987	17602	26	High-quality	High-quality	99.68	AAI-based (high-confidence)	6	3	3	6	0.00483558994197292	0.5791959861913885	0.00269166907940268	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	10	0.38461538461538464
vOTU08748	36172	45	High-quality	High-quality	97.92	AAI-based (high-confidence)	6	0	6	6	0.01353965183752417	4.364310545729209	0.01867086639484018	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	11	0.24444444444444444
vOTU18372	64706	96	High-quality	High-quality	100	AAI-based (high-confidence)	23	6	17	23	9.67117988394584e-4	2.0785390302453446	0.0085075214860418	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	56	0.5833333333333334
vOTU00447	24374	39	Medium-quality	Genome-fragment	71.27	AAI-based (high-confidence)	9	1	8	9	0.01740812379110251	0.7132236237853574	0.00332731463326388	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	18	0.4615384615384616
vOTU05550	43048	49	Complete	High-quality	100	Provirus (high-confidence)	6	6	0	6	0.00773694390715667	0.3907986205540704	0.00190903106918208	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	30	0.6122448979591837
